sku,went_on_backorder
2088386,No
1493588,No
1529037,Yes
3090382,No
2176043,No
1229636,No
1408257,No
1420413,Yes
1296693,No
3126889,No
1452602,Yes
1141549,No
1930117,No
2813512,No
1829352,No
1792614,Yes
2829979,No
1786857,No
1771539,No
1968811,No
1871486,No
1778048,No
2931897,No
3246723,No
1834643,Yes
1180609,Yes
2245025,No
2951765,No
2306883,No
1300327,No
3269471,No
2008625,No
3083457,No
1658829,Yes
2843198,No
1718759,No
1260989,No
2117096,No
1368931,No
1743260,No
1139787,No
1781838,No
2065510,No
1240923,No
2234895,No
2210628,No
2069192,Yes
1265814,No
2132899,No
2205076,No
2064904,No
2140867,No
1572139,No
2822209,No
2027620,Yes
1726280,No
1496564,No
2065100,No
1495115,No
2233101,No
2278232,No
1694383,No
2291280,Yes
2146540,No
1701339,No
1971688,No
2904535,No
3065535,No
1196871,No
1718067,No
2869062,No
1793061,No
2058128,Yes
1438527,No
3003878,No
3282647,No
2064764,No
1130664,No
1476418,No
2026802,Yes
1357696,Yes
2850993,No
2919109,No
1935913,No
1852280,No
1485656,Yes
1905870,No
2148644,No
1614471,Yes
1339730,No
3220134,No
1569077,Yes
1782451,No
2136441,No
2143222,No
1599029,No
1407904,No
1431834,No
2907303,No
2867767,No
2825321,No
1895745,No
1832178,Yes
1868279,No
2186276,No
2814941,Yes
3189806,No
1312192,No
3184373,No
1164268,No
2868327,No
2993845,No
1509910,Yes
1832368,Yes
1474342,Yes
1758649,No
1183422,No
3174234,No
3004990,No
1807979,No
1853604,No
3063754,No
1611520,No
3236953,No
1266445,No
2303891,No
1894006,No
3059787,No
1773018,No
3026935,No
2885668,Yes
3195030,No
1812752,No
2163162,No
1448750,No
1423677,No
1488968,No
1168836,No
1113874,Yes
1848945,No
2802099,No
3094701,No
2141883,No
1710374,Yes
3068814,No
2071451,No
1524924,No
1944108,No
2991123,No
2046497,No
2927353,No
1693143,No
3080891,No
2921792,No
1853194,No
2298071,No
1270389,No
3221363,No
1932754,No
1477117,No
1405644,No
3000093,No
2807360,No
3283697,No
2960121,No
2836758,No
1770133,Yes
1927431,Yes
2298592,No
2166981,Yes
1361059,No
1251053,Yes
2119948,No
1498673,No
1426980,No
2031545,No
1489946,No
1693289,No
3055936,No
2909670,No
1506633,Yes
2237335,No
1723524,No
2874651,No
2835562,No
3020507,No
1841615,No
1627555,No
1214349,No
2285627,Yes
3264296,No
2912939,No
1157785,Yes
1886946,Yes
2004870,No
2165611,No
1783066,Yes
1352556,No
2974290,No
3054245,No
3112063,No
1839185,No
1668505,No
2891752,No
1627475,No
1902991,No
1279176,Yes
1574783,No
2954778,No
2299419,No
1492574,No
2138070,Yes
1534095,No
2111795,No
1492816,No
3130162,No
1456470,No
3052723,No
1525997,No
2182273,No
3210364,No
1473085,No
1145174,No
1368194,Yes
3121133,No
1320327,Yes
1414035,No
1326955,No
1693513,No
2212113,Yes
1426435,No
3111145,No
1812976,No
1639868,No
1529866,No
1166811,No
1863462,Yes
3139721,No
1245157,Yes
1777774,No
1761343,No
2019487,No
2111214,No
2085679,No
1969534,No
1470784,No
1816383,No
1581755,No
3187649,No
1320064,No
1492869,No
3033111,No
2835124,No
2227694,No
2215132,No
1768960,No
1225131,No
1512515,No
2157662,No
3071532,No
1923265,No
1970610,No
2916982,No
2982245,No
3050095,No
1547031,No
2107684,Yes
2017395,No
1663453,No
3101715,No
1233317,Yes
1978165,No
1558866,No
1691137,No
1164160,Yes
1436959,No
2255797,No
3078727,No
1852968,No
1417139,No
3157340,No
3072968,No
2952583,No
1771495,Yes
1634127,No
2954776,No
2908606,No
1128521,No
2107591,No
2909895,Yes
1137256,Yes
1692468,No
2282557,Yes
3051650,No
3262661,No
1134417,No
2310751,No
1452608,Yes
1660615,Yes
2939117,No
2144777,No
3071952,No
2309724,No
1250914,No
2045761,No
1616110,No
1945463,No
3053214,No
2307090,Yes
1644383,No
2903881,No
1340552,Yes
1197372,Yes
1618734,No
3043036,No
1313209,No
1862507,No
1152245,Yes
2113962,No
1901016,No
1231950,No
1236671,No
1740078,No
1219709,Yes
1229485,No
3182418,No
1224996,No
1757026,No
1192232,No
3009022,No
1431062,No
2162281,No
1283103,No
3212032,No
3029631,No
1444323,No
1206656,No
1643960,No
3008050,No
1557403,No
1304543,No
1745880,No
2211857,Yes
1456759,No
2142439,No
1272546,No
1433551,No
1726520,No
1408065,No
2046622,Yes
2036782,No
1946695,Yes
1397340,No
1647745,Yes
1698032,No
1740039,Yes
2095035,No
1881756,No
1384815,No
2181890,No
2132760,No
1273720,No
3038453,No
3098158,No
1838573,No
2965473,No
1844117,No
2956826,No
1804600,No
1280173,Yes
1377190,No
2249726,No
1625508,No
2141865,No
3274758,Yes
1474346,Yes
1667645,No
2870937,No
2028742,No
1448877,No
3184431,No
1777894,No
1839592,No
1641011,No
1231457,No
1127963,No
1416177,Yes
1467593,No
1200882,Yes
3074990,No
2856285,No
1420414,No
3197501,No
3108082,No
2265372,No
1756143,No
1769901,Yes
1223588,No
1605300,No
2043650,Yes
1686896,No
2011241,No
1452880,No
1407678,Yes
2953997,Yes
1507227,Yes
1493069,No
1740841,Yes
1134679,No
2059829,No
1185379,Yes
1297190,Yes
3171846,No
1167102,Yes
2966610,No
1582648,No
2186335,No
3249365,No
1815836,No
1640021,No
3158911,No
3137547,No
2167117,No
3235298,No
1312971,No
1734617,No
2962627,No
1481496,No
2016220,Yes
2854537,No
1932816,No
1927374,No
2071152,Yes
1951828,No
1797147,No
1171207,No
1720990,No
2229415,No
3174485,No
1454364,No
1937481,No
1413147,No
1482302,Yes
1945242,No
2314613,No
3094279,No
1367465,No
2855070,No
1502128,No
2121747,No
2207174,No
2831859,No
1498845,Yes
1118643,No
1160228,No
1632289,No
1116347,No
1706251,No
2835311,No
1221427,No
1933824,No
2309721,No
1245370,No
2114993,No
2834003,No
1583828,Yes
1846740,No
3118362,No
1264279,Yes
2853601,No
1640438,No
2812889,No
1809447,Yes
2041523,No
1589242,Yes
2180090,No
2928384,No
1647474,No
2998929,No
1300829,Yes
1821888,No
3200891,No
1812333,No
2860091,No
2929978,No
2906518,No
2166255,No
1485955,No
2814525,No
1844863,Yes
1560271,No
3083341,No
1165899,No
1169447,No
1513053,No
1786271,No
1803764,Yes
1989735,No
3169453,No
1198639,No
2160432,No
1752176,No
1292336,No
3158447,No
1904797,No
3224198,No
